label,epoch,probe,param,mse
vicreg_bs2,1,linear,mean,0.8011489510536194
vicreg_bs2,3,linear,mean,0.6665117740631104
vicreg_bs2,5,linear,mean,0.47881388664245605
vicreg_bs2,7,linear,mean,0.3883184790611267
vicreg_bs2,9,linear,mean,0.36141330003738403
vicreg_bs2,11,linear,mean,0.307986319065094
vicreg_bs2,13,linear,mean,0.3193187117576599
vicreg_bs2,15,linear,mean,0.3661322295665741
vicreg_bs2,17,linear,mean,0.474933922290802
vicreg_bs2,19,linear,mean,0.4747622311115265
vicreg_bs2,1,linear,alpha,0.7504975199699402
vicreg_bs2,3,linear,alpha,0.579307496547699
vicreg_bs2,5,linear,alpha,0.4382299780845642
vicreg_bs2,7,linear,alpha,0.2866801917552948
vicreg_bs2,9,linear,alpha,0.2381506860256195
vicreg_bs2,11,linear,alpha,0.17798809707164764
vicreg_bs2,13,linear,alpha,0.18813714385032654
vicreg_bs2,15,linear,alpha,0.2524279057979584
vicreg_bs2,17,linear,alpha,0.3772566616535187
vicreg_bs2,19,linear,alpha,0.3440125584602356
vicreg_bs2,1,linear,zeta,0.8518003821372986
vicreg_bs2,3,linear,zeta,0.7537160515785217
vicreg_bs2,5,linear,zeta,0.5193977952003479
vicreg_bs2,7,linear,zeta,0.4899568259716034
vicreg_bs2,9,linear,zeta,0.48467591404914856
vicreg_bs2,11,linear,zeta,0.43798452615737915
vicreg_bs2,13,linear,zeta,0.4505002796649933
vicreg_bs2,15,linear,zeta,0.47983652353286743
vicreg_bs2,17,linear,zeta,0.5726112127304077
vicreg_bs2,19,linear,zeta,0.6055118441581726
vicreg_bs2,1,knn,mean,0.8133487105369568
vicreg_bs2,3,knn,mean,0.6935392022132874
vicreg_bs2,5,knn,mean,0.5467472672462463
vicreg_bs2,7,knn,mean,0.4253543019294739
vicreg_bs2,9,knn,mean,0.329985111951828
vicreg_bs2,11,knn,mean,0.2707107663154602
vicreg_bs2,13,knn,mean,0.2323148548603058
vicreg_bs2,15,knn,mean,0.26357361674308777
vicreg_bs2,17,knn,mean,0.33224669098854065
vicreg_bs2,19,knn,mean,0.31467530131340027
vicreg_bs2,1,knn,alpha,0.7771241068840027
vicreg_bs2,3,knn,alpha,0.6088201403617859
vicreg_bs2,5,knn,alpha,0.38579776883125305
vicreg_bs2,7,knn,alpha,0.23053359985351562
vicreg_bs2,9,knn,alpha,0.16544528305530548
vicreg_bs2,11,knn,alpha,0.16331425309181213
vicreg_bs2,13,knn,alpha,0.17296196520328522
vicreg_bs2,15,knn,alpha,0.2562244236469269
vicreg_bs2,17,knn,alpha,0.3390774130821228
vicreg_bs2,19,knn,alpha,0.2700475752353668
vicreg_bs2,1,knn,zeta,0.8495732545852661
vicreg_bs2,3,knn,zeta,0.7782582640647888
vicreg_bs2,5,knn,zeta,0.7076968550682068
vicreg_bs2,7,knn,zeta,0.6201749444007874
vicreg_bs2,9,knn,zeta,0.49452489614486694
vicreg_bs2,11,knn,zeta,0.3781072795391083
vicreg_bs2,13,knn,zeta,0.29166775941848755
vicreg_bs2,15,knn,zeta,0.27092283964157104
vicreg_bs2,17,knn,zeta,0.3254159688949585
vicreg_bs2,19,knn,zeta,0.35930299758911133
vicreg_bs2,1,attentive,mean,0.6621486395597458
vicreg_bs2,3,attentive,mean,0.3495422527194023
vicreg_bs2,5,attentive,mean,0.20964930951595306
vicreg_bs2,7,attentive,mean,0.18006113916635513
vicreg_bs2,9,attentive,mean,0.14928630739450455
vicreg_bs2,11,attentive,mean,0.13418734818696976
vicreg_bs2,13,attentive,mean,0.1699691042304039
vicreg_bs2,15,attentive,mean,0.22915298491716385
vicreg_bs2,17,attentive,mean,0.3519040048122406
vicreg_bs2,19,attentive,mean,0.4262794852256775
vicreg_bs2,1,attentive,alpha,0.4115546643733978
vicreg_bs2,3,attentive,alpha,0.17303656041622162
vicreg_bs2,5,attentive,alpha,0.12039420008659363
vicreg_bs2,7,attentive,alpha,0.11127039790153503
vicreg_bs2,9,attentive,alpha,0.09044842422008514
vicreg_bs2,11,attentive,alpha,0.0908055305480957
vicreg_bs2,13,attentive,alpha,0.1292715072631836
vicreg_bs2,15,attentive,alpha,0.2310965210199356
vicreg_bs2,17,attentive,alpha,0.40612852573394775
vicreg_bs2,19,attentive,alpha,0.4822615087032318
vicreg_bs2,1,attentive,zeta,0.9127426147460938
vicreg_bs2,3,attentive,zeta,0.526047945022583
vicreg_bs2,5,attentive,zeta,0.2989044189453125
vicreg_bs2,7,attentive,zeta,0.24885188043117523
vicreg_bs2,9,attentive,zeta,0.20812419056892395
vicreg_bs2,11,attentive,zeta,0.1775691658258438
vicreg_bs2,13,attentive,zeta,0.2106667011976242
vicreg_bs2,15,attentive,zeta,0.2272094488143921
vicreg_bs2,17,attentive,zeta,0.29767948389053345
vicreg_bs2,19,attentive,zeta,0.37029746174812317
vicreg_bs8,1,linear,mean,0.8092448115348816
vicreg_bs8,3,linear,mean,0.7330939769744873
vicreg_bs8,5,linear,mean,0.4781115651130676
vicreg_bs8,7,linear,mean,0.361596018075943
vicreg_bs8,9,linear,mean,0.2871323525905609
vicreg_bs8,11,linear,mean,0.26669153571128845
vicreg_bs8,13,linear,mean,0.24252739548683167
vicreg_bs8,15,linear,mean,0.2451419085264206
vicreg_bs8,17,linear,mean,0.2438339740037918
vicreg_bs8,19,linear,mean,0.2430504858493805
vicreg_bs8,21,linear,mean,0.24272282421588898
vicreg_bs8,23,linear,mean,0.24860043823719025
vicreg_bs8,25,linear,mean,0.2459639459848404
vicreg_bs8,27,linear,mean,0.24409617483615875
vicreg_bs8,1,linear,alpha,0.7613063454627991
vicreg_bs8,3,linear,alpha,0.6445872783660889
vicreg_bs8,5,linear,alpha,0.2625536620616913
vicreg_bs8,7,linear,alpha,0.1802210807800293
vicreg_bs8,9,linear,alpha,0.10784517973661423
vicreg_bs8,11,linear,alpha,0.0731830969452858
vicreg_bs8,13,linear,alpha,0.06394152343273163
vicreg_bs8,15,linear,alpha,0.061228230595588684
vicreg_bs8,17,linear,alpha,0.06300929933786392
vicreg_bs8,19,linear,alpha,0.06493222713470459
vicreg_bs8,21,linear,alpha,0.06482696533203125
vicreg_bs8,23,linear,alpha,0.07081593573093414
vicreg_bs8,25,linear,alpha,0.06890953332185745
vicreg_bs8,27,linear,alpha,0.06863691657781601
vicreg_bs8,1,linear,zeta,0.8571832180023193
vicreg_bs8,3,linear,zeta,0.8216006755828857
vicreg_bs8,5,linear,zeta,0.6936693787574768
vicreg_bs8,7,linear,zeta,0.5429710149765015
vicreg_bs8,9,linear,zeta,0.466419517993927
vicreg_bs8,11,linear,zeta,0.4601999819278717
vicreg_bs8,13,linear,zeta,0.4211132228374481
vicreg_bs8,15,linear,zeta,0.4290555417537689
vicreg_bs8,17,linear,zeta,0.4246586561203003
vicreg_bs8,19,linear,zeta,0.42116880416870117
vicreg_bs8,21,linear,zeta,0.4206187129020691
vicreg_bs8,23,linear,zeta,0.42638492584228516
vicreg_bs8,25,linear,zeta,0.42301827669143677
vicreg_bs8,27,linear,zeta,0.4195554256439209
vicreg_bs8,1,knn,mean,0.7662960886955261
vicreg_bs8,3,knn,mean,0.6552173495292664
vicreg_bs8,5,knn,mean,0.4967970848083496
vicreg_bs8,7,knn,mean,0.40823593735694885
vicreg_bs8,9,knn,mean,0.3069216012954712
vicreg_bs8,11,knn,mean,0.2502542734146118
vicreg_bs8,13,knn,mean,0.23788388073444366
vicreg_bs8,15,knn,mean,0.2382778376340866
vicreg_bs8,17,knn,mean,0.23266147077083588
vicreg_bs8,19,knn,mean,0.22002515196800232
vicreg_bs8,21,knn,mean,0.22150355577468872
vicreg_bs8,23,knn,mean,0.21715599298477173
vicreg_bs8,25,knn,mean,0.22322529554367065
vicreg_bs8,27,knn,mean,0.23411600291728973
vicreg_bs8,1,knn,alpha,0.7142961621284485
vicreg_bs8,3,knn,alpha,0.5648081302642822
vicreg_bs8,5,knn,alpha,0.31658676266670227
vicreg_bs8,7,knn,alpha,0.11745220422744751
vicreg_bs8,9,knn,alpha,0.057097651064395905
vicreg_bs8,11,knn,alpha,0.050335098057985306
vicreg_bs8,13,knn,alpha,0.03911089152097702
vicreg_bs8,15,knn,alpha,0.044979631900787354
vicreg_bs8,17,knn,alpha,0.039535749703645706
vicreg_bs8,19,knn,alpha,0.04720994457602501
vicreg_bs8,21,knn,alpha,0.048084650188684464
vicreg_bs8,23,knn,alpha,0.047843724489212036
vicreg_bs8,25,knn,alpha,0.05520771071314812
vicreg_bs8,27,knn,alpha,0.04986358806490898
vicreg_bs8,1,knn,zeta,0.8182960748672485
vicreg_bs8,3,knn,zeta,0.74562668800354
vicreg_bs8,5,knn,zeta,0.6770074367523193
vicreg_bs8,7,knn,zeta,0.6990196704864502
vicreg_bs8,9,knn,zeta,0.5567455291748047
vicreg_bs8,11,knn,zeta,0.45017343759536743
vicreg_bs8,13,knn,zeta,0.4366568624973297
vicreg_bs8,15,knn,zeta,0.43157607316970825
vicreg_bs8,17,knn,zeta,0.42578718066215515
vicreg_bs8,19,knn,zeta,0.39284035563468933
vicreg_bs8,21,knn,zeta,0.3949224352836609
vicreg_bs8,23,knn,zeta,0.38646820187568665
vicreg_bs8,25,knn,zeta,0.3912428617477417
vicreg_bs8,27,knn,zeta,0.41836848855018616
vicreg_bs8,1,attentive,mean,0.5863146632909775
vicreg_bs8,3,attentive,mean,0.2883750647306442
vicreg_bs8,5,attentive,mean,0.15768658556044102
vicreg_bs8,7,attentive,mean,0.10894726775586605
vicreg_bs8,9,attentive,mean,0.09625723771750927
vicreg_bs8,11,attentive,mean,0.08858432434499264
vicreg_bs8,13,attentive,mean,0.08126147463917732
vicreg_bs8,15,attentive,mean,0.08821474015712738
vicreg_bs8,17,attentive,mean,0.09154095686972141
vicreg_bs8,19,attentive,mean,0.09522968344390392
vicreg_bs8,21,attentive,mean,0.09960246458649635
vicreg_bs8,23,attentive,mean,0.09417778812348843
vicreg_bs8,25,attentive,mean,0.09393179044127464
vicreg_bs8,27,attentive,mean,0.10510276071727276
vicreg_bs8,1,attentive,alpha,0.31905296444892883
vicreg_bs8,3,attentive,alpha,0.08545324206352234
vicreg_bs8,5,attentive,alpha,0.046025294810533524
vicreg_bs8,7,attentive,alpha,0.030376028269529343
vicreg_bs8,9,attentive,alpha,0.028816502541303635
vicreg_bs8,11,attentive,alpha,0.021861862391233444
vicreg_bs8,13,attentive,alpha,0.02788340300321579
vicreg_bs8,15,attentive,alpha,0.03232352435588837
vicreg_bs8,17,attentive,alpha,0.040103379637002945
vicreg_bs8,19,attentive,alpha,0.03681103512644768
vicreg_bs8,21,attentive,alpha,0.04192390292882919
vicreg_bs8,23,attentive,alpha,0.04848982021212578
vicreg_bs8,25,attentive,alpha,0.04453323036432266
vicreg_bs8,27,attentive,alpha,0.05228027328848839
vicreg_bs8,1,attentive,zeta,0.8535763621330261
vicreg_bs8,3,attentive,zeta,0.4912968873977661
vicreg_bs8,5,attentive,zeta,0.2693478763103485
vicreg_bs8,7,attentive,zeta,0.18751850724220276
vicreg_bs8,9,attentive,zeta,0.1636979728937149
vicreg_bs8,11,attentive,zeta,0.15530678629875183
vicreg_bs8,13,attentive,zeta,0.13463954627513885
vicreg_bs8,15,attentive,zeta,0.1441059559583664
vicreg_bs8,17,attentive,zeta,0.14297853410243988
vicreg_bs8,19,attentive,zeta,0.15364833176136017
vicreg_bs8,21,attentive,zeta,0.1572810262441635
vicreg_bs8,23,attentive,zeta,0.13986575603485107
vicreg_bs8,25,attentive,zeta,0.14333035051822662
vicreg_bs8,27,attentive,zeta,0.15792524814605713
fft,1,linear,mean,0.7893761992454529
fft,3,linear,mean,0.7551206946372986
fft,5,linear,mean,0.49946579337120056
fft,7,linear,mean,0.3372628688812256
fft,9,linear,mean,0.2636738717556
fft,11,linear,mean,0.23265695571899414
fft,13,linear,mean,0.2245204597711563
fft,15,linear,mean,0.2184573858976364
fft,17,linear,mean,0.21609832346439362
fft,19,linear,mean,0.21324707567691803
fft,21,linear,mean,0.2120027095079422
