epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.821881890296936,0.7838524580001831,0.8599115014076233,0.753567636013031,0.701195478439331,0.8059397339820862,50,1,0.534544363617897,0.25237444043159485,0.8167142868041992
3,0.685201108455658,0.5457659363746643,0.8246363401412964,0.6685867309570312,0.5960263609886169,0.7411471009254456,50,1,0.2155667059123516,0.08964785188436508,0.34148555994033813
5,0.48075270652770996,0.33181026577949524,0.6296952366828918,0.5243383646011353,0.3338168263435364,0.7148600816726685,20,0,0.13875738717615604,0.0574641115963459,0.2200506627559662
7,0.34121084213256836,0.2046470046043396,0.47777464985847473,0.3965489864349365,0.16591735184192657,0.6271805763244629,20,1,0.10721035674214363,0.04518749564886093,0.16923321783542633
9,0.27445751428604126,0.09860046952962875,0.45031464099884033,0.30407655239105225,0.07967407256364822,0.5284790992736816,10,0,0.08157659322023392,0.029930219054222107,0.13322296738624573
11,0.24699264764785767,0.05792267620563507,0.4360625743865967,0.2553209960460663,0.0504695326089859,0.4601724147796631,5,0,0.07466526422649622,0.02554921992123127,0.12378130853176117
13,0.23240773379802704,0.04270050674676895,0.42211490869522095,0.22160008549690247,0.055465321987867355,0.3877348303794861,5,0,0.07219684775918722,0.027896201238036156,0.11649749428033829
15,0.21076974272727966,0.040104940533638,0.3814345598220825,0.20880287885665894,0.049387313425540924,0.36821842193603516,5,1,0.08555718511343002,0.03346125781536102,0.13765311241149902
17,0.20672030746936798,0.0512838289141655,0.36215677857398987,0.1843348890542984,0.043852727860212326,0.32481706142425537,5,0,0.08840193040668964,0.03785087540745735,0.13895298540592194
19,0.20825356245040894,0.05589013919234276,0.3606169521808624,0.21168549358844757,0.048542678356170654,0.3748283088207245,5,0,0.09087030403316021,0.04011153802275658,0.14162907004356384
