epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.7893761992454529,0.7389747500419617,0.8397776484489441,0.7485556602478027,0.6833974123001099,0.8137139081954956,50,1,0.6089821606874466,0.3356955349445343,0.8822687864303589
3,0.7551206946372986,0.6930062770843506,0.8172351121902466,0.6643573045730591,0.6048105359077454,0.723904013633728,50,1,0.3334948532283306,0.08229627460241318,0.584693431854248
5,0.49946579337120056,0.3144882321357727,0.684443473815918,0.4864872694015503,0.2505526542663574,0.7224219441413879,20,0,0.18584514781832695,0.05538126081228256,0.31630903482437134
7,0.3372628688812256,0.18523381650447845,0.48929187655448914,0.39273688197135925,0.13058212399482727,0.6548916697502136,20,0,0.12029399629682302,0.02898762933909893,0.21160036325454712
9,0.2636738717556,0.0992773026227951,0.42807042598724365,0.34454458951950073,0.08900298923254013,0.6000862717628479,10,0,0.09722062852233648,0.02707531861960888,0.1673659384250641
11,0.23265695571899414,0.061809565871953964,0.4035043716430664,0.285677433013916,0.0616680383682251,0.5096867680549622,5,0,0.0810474781319499,0.021344667300581932,0.14075028896331787
13,0.2245204597711563,0.04959145933389664,0.39944952726364136,0.22962555289268494,0.040132541209459305,0.41911858320236206,5,0,0.08262972999364138,0.017780015245079994,0.14747944474220276
15,0.2184573858976364,0.04720347374677658,0.38971132040023804,0.2012331336736679,0.03818357363343239,0.3642826974391937,5,0,0.08230231050401926,0.020916910842061043,0.14368771016597748
17,0.21609832346439362,0.04986599460244179,0.38233068585395813,0.17707757651805878,0.03958820924162865,0.3145669102668762,5,0,0.07868432439863682,0.02796298637986183,0.1294056624174118
19,0.21324707567691803,0.050572361797094345,0.3759218454360962,0.17409540712833405,0.04292270168662071,0.30526813864707947,10,0,0.0843742759898305,0.02801232971251011,0.14073622226715088
21,0.2120027095079422,0.051367610692977905,0.3726378381252289,0.17862755060195923,0.04881657287478447,0.3084385097026825,5,0,0.08289152663201094,0.028310632333159447,0.13747242093086243
