epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.8011489510536194,0.7504975199699402,0.8518003821372986,0.8133487105369568,0.7771241068840027,0.8495732545852661,50,1,0.6621486395597458,0.4115546643733978,0.9127426147460938
3,0.6665117740631104,0.579307496547699,0.7537160515785217,0.6935392022132874,0.6088201403617859,0.7782582640647888,50,1,0.3495422527194023,0.17303656041622162,0.526047945022583
5,0.47881388664245605,0.4382299780845642,0.5193977952003479,0.5467472672462463,0.38579776883125305,0.7076968550682068,50,0,0.20964930951595306,0.12039420008659363,0.2989044189453125
7,0.3883184790611267,0.2866801917552948,0.4899568259716034,0.4253543019294739,0.23053359985351562,0.6201749444007874,50,0,0.18006113916635513,0.11127039790153503,0.24885188043117523
9,0.36141330003738403,0.2381506860256195,0.48467591404914856,0.329985111951828,0.16544528305530548,0.49452489614486694,20,0,0.14928630739450455,0.09044842422008514,0.20812419056892395
11,0.307986319065094,0.17798809707164764,0.43798452615737915,0.2707107663154602,0.16331425309181213,0.3781072795391083,20,0,0.13418734818696976,0.0908055305480957,0.1775691658258438
13,0.3193187117576599,0.18813714385032654,0.4505002796649933,0.2323148548603058,0.17296196520328522,0.29166775941848755,10,0,0.1699691042304039,0.1292715072631836,0.2106667011976242
15,0.3661322295665741,0.2524279057979584,0.47983652353286743,0.26357361674308777,0.2562244236469269,0.27092283964157104,10,0,0.22915298491716385,0.2310965210199356,0.2272094488143921
17,0.474933922290802,0.3772566616535187,0.5726112127304077,0.33224669098854065,0.3390774130821228,0.3254159688949585,10,0,0.3519040048122406,0.40612852573394775,0.29767948389053345
19,0.4747622311115265,0.3440125584602356,0.6055118441581726,0.31467530131340027,0.2700475752353668,0.35930299758911133,10,0,0.4262794852256775,0.4822615087032318,0.37029746174812317
