epoch,linear/mean,linear/alpha,linear/zeta,knn/mean,knn/alpha,knn/zeta,knn/best_k,knn/best_metric_is_cosine,attentive/mean,attentive/alpha,attentive/zeta
1,0.12455499172210692,0.006561650428920984,0.24254831671714783,0.10721269994974136,,,10.0,0,,,
3,0.12980924546718595,0.005701132584363222,0.253917396068573,0.09751686453819276,,,10.0,0,,,
5,0.08565624058246613,0.004631181713193655,0.16668131947517395,0.09668459743261336,,,10.0,0,,,
7,0.1148775964975357,0.004184606019407511,0.22557060420513153,0.12076334655284882,,,20.0,0,,,
9,0.11974861472845078,0.005073529668152332,0.23442372679710388,0.1206744909286499,,,10.0,0,,,
11,0.102119542658329,0.005587669089436531,0.19865143299102783,0.11024118959903716,,,20.0,1,,,
13,0.1211271807551384,0.007042664103209972,0.23521168529987335,0.1052905172109604,,,10.0,0,,,
15,0.10324040055274963,0.006567598320543766,0.1999131739139557,0.0989636480808258,,,10.0,0,,,
17,0.10433435440063477,0.006041538901627064,0.2026271820068359,0.0970899984240532,,,10.0,0,,,
19,0.11112002283334732,0.006063935812562704,0.2161760926246643,0.09090297669172288,,,20.0,0,,,
21,0.10914618521928789,0.005918032489717007,0.2123742997646332,0.08400299400091171,,,20.0,0,,,
23,0.09976961463689804,0.0059095448814332485,0.1936296671628952,0.08320572972297668,,,20.0,0,,,
25,0.09251496940851212,0.0060053057968616486,0.17902465164661407,0.08263632655143738,,,20.0,0,,,
27,0.0900641530752182,0.006152245681732893,0.17397606372833252,0.08161620050668716,,,10.0,0,,,
29,0.0895223543047905,0.006240788381546736,0.17280392348766327,0.08142320066690445,,,10.0,0,,,
